feature,acc,mad
dit,0.8027890599488902,0.022258693260115005
noc,0.7897200387546088,0.024276846692264962
cbo,0.8165485807453688,0.019054053573623823
rfc,0.8194197425150612,0.011875162949334848
lcom,0.8120409898849776,0.020785468374234947
ca,0.8133643286781747,0.022309216460836948
ce,0.8125011689478282,0.0162901468177104
npm,0.8144139516763989,0.021038547185786925
lcom3,0.8127081026052875,0.020699451767679317
loc,0.8292168476785181,0.013484545174869904
dam,0.8010087031367181,0.023298319306504695
moa,0.796596197293534,0.02427754065820936
mfa,0.8256713153711984,0.019202479181652986
cam,0.8229997382782326,0.018778788167196334
ic,0.7964037656426032,0.0237203099271921
cbm,0.8002705893833608,0.023181642264042457
amc,0.8232103286686895,0.011175091673826038
max_cc,0.802598155808656,0.019662268752006898
avg_cc,0.8114499976641433,0.019573840243702626
